link,title,date,datetime,author,author_link,caption,image
https://techcrunch.com/2018/10/17/crypto-quantique/,Crypto Quantique unveils its ‘quantum driven secure chip’ for IoT devices,"Oct 17, 2018",2018-10-17T09:01:57+00:00,Steve O'Hear,https://techcrunch.com/author/steve-o-hear/,"With Gartner estimating that there will be 150 billion connected devices by 2030 — many of them mission critical, such as powering major national infrastructure — the risk and realisation",https://techcrunch.com/wp-content/uploads/2018/10/Crypto-Quantique-Product.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/uk-health-minister-sets-out-tech-first-vision-for-future-care-provision/,UK health minister sets out tech-first vision for future care provision,"Oct 17, 2018",2018-10-17T09:01:50+00:00,Natasha Lomas,https://techcrunch.com/author/natasha-lomas/,"The UK’s still fairly new in post minister for health, Matt Hancock, quickly made technology one of his stated priorities. And today he’s put more meat on the bones of his thinking, settin",https://techcrunch.com/wp-content/uploads/2016/12/matt-hancock-uk-digital-director1.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/lyft-hires-former-united-airlines-exec-to-lead-market-expansion/,Lyft hires former United Airlines exec to lead market expansion,"Oct 17, 2018",2018-10-17T09:00:17+00:00,Megan Rose Dickey,https://techcrunch.com/author/megan-rose-dickey/,Lyft has brought on former United Airlines Chief Commercial Officer Julia Haywood to serve as its VP of Strategy. The plan is for her to own Lyft’s market expansion efforts and accelerate growth,https://techcrunch.com/wp-content/uploads/2018/10/GettyImages-909455582.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/spotify-takes-a-stake-in-distrokid-will-support-cross-platform-music-uploads-in-spotify-for-artists/,"Spotify takes a stake in DistroKid, will support cross-platform music uploads in Spotify for Artists","Oct 17, 2018",2018-10-17T08:57:43+00:00,Sarah Perez,https://techcrunch.com/author/sarah-perez/,"Spotify has taken a minority stake in music distribution service, DistroKid, a popular tool used by artists for uploading their music across platforms. The company didn’t confirm the size of its",https://techcrunch.com/wp-content/uploads/2018/10/spotify-for-artists.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/how-to-download-your-apple-data/,How to download your data from Apple,"Oct 17, 2018",2018-10-17T08:17:11+00:00,Zack Whittaker,https://techcrunch.com/author/zack-whittaker/,"Good news! Apple now allows U.S. customers to download a copy of their data, months after rolling out the feature to EU customers. But don’t be disappointed when you get your download and find t",https://techcrunch.com/wp-content/uploads/2018/10/GettyImages-1040640366.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/these-are-the-most-successful-companies-to-emerge-from-y-combinator/,These are the most successful companies to emerge from Y Combinator,"Oct 17, 2018",2018-10-17T08:05:39+00:00,Kate Clark,https://techcrunch.com/author/kate-clark/,A look at the 20 most successful companies to come out of Y Combinator.,https://techcrunch.com/wp-content/uploads/2018/10/GettyImages-652988834.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/17/hulu-adds-a-dark-mode-on-the-web/,Hulu adds a dark mode on the web,"Oct 17, 2018",2018-10-17T08:03:20+00:00,Sarah Perez,https://techcrunch.com/author/sarah-perez/,"Rejoice, dark mode fans. Hulu is joining YouTube and YouTube TV as the streaming video service to embrace a dark theme – something that gives video sites a more cinematic look and feel (as N",https://techcrunch.com/wp-content/uploads/2018/10/Night-Mode-On.png?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/is-youtube-down/,YouTube experiences a major outage lasting for more than an hour,"Oct 16, 2018",2018-10-16T19:26:15+00:00,Taylor Hatmaker,https://techcrunch.com/author/taylor-hatmaker/,"No, it’s not just you. As of Tuesday evening Pacific Time, YouTube was down for many users. The outage appears to have begun some time around 6:15 p.m., making this a pretty long outage for such",https://techcrunch.com/wp-content/uploads/2017/09/gettyimages-502130278a.jpg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/blockchain-media-startup-civil-is-issuing-full-refunds-to-all-buyers-of-its-cryptocurrency/,Blockchain media startup Civil is issuing full refunds to all buyers of its cryptocurrency,"Oct 16, 2018",2018-10-16T15:57:53+00:00,Kate Clark,https://techcrunch.com/author/kate-clark/,"Many doubted The Civil Media Company's ambitious plan to sell $8 million worth of its cryptocurrency, called CVL. The skeptics, as it turns out, were right.",https://techcrunch.com/wp-content/uploads/2018/10/fullsizeoutput_18.jpeg?w=300&h=160&crop=1
https://techcrunch.com/2018/10/16/google-tweaks-android-licensing-terms-in-europe-to-allow-google-app-unbundling-for-a-fee/,Google tweaks Android licensing terms in Europe to allow Google app unbundling — for a fee,"Oct 16, 2018",2018-10-16T15:37:09+00:00,Natasha Lomas,https://techcrunch.com/author/natasha-lomas/,"Google has announced changes to the licensing model for its Android mobile operating system in Europe,  including introducing a fee for licensing some of its own brand apps, saying it’s doing",https://techcrunch.com/wp-content/uploads/2018/05/00100dportrait_00100_burst20180227132234437_cover.jpg?w=300&h=160&crop=1
